fold_id,dataset,split,window_s,overlap_pct,counting_basis,n_regions,n_regions_too_short,n_windows
1,CWRU,train,0.25,0,standard,20,0,680
1,CWRU,train,0.25,50,standard,20,0,1356
1,CWRU,train,0.5,0,standard,20,0,340
1,CWRU,train,0.5,50,standard,20,0,660
1,CWRU,train,1.0,0,standard,20,0,169
1,CWRU,train,1.0,50,standard,20,0,320
1,CWRU,train,2.0,0,standard,20,0,83
1,CWRU,train,2.0,50,standard,20,0,149
1,CWRU,validation,0.25,0,standard,20,0,656
1,CWRU,validation,0.25,50,standard,20,0,1302
1,CWRU,validation,0.5,0,standard,20,0,327
1,CWRU,validation,0.5,50,standard,20,0,636
1,CWRU,validation,1.0,0,standard,20,0,162
1,CWRU,validation,1.0,50,standard,20,0,307
1,CWRU,validation,2.0,0,standard,20,1,79
1,CWRU,validation,2.0,50,standard,20,1,142
1,CWRU,test,0.25,0,standard,12,0,420
1,CWRU,test,0.25,50,standard,12,0,835
1,CWRU,test,0.5,0,standard,12,0,210
1,CWRU,test,0.5,50,standard,12,0,408
1,CWRU,test,1.0,0,standard,12,0,105
1,CWRU,test,1.0,50,standard,12,0,198
1,CWRU,test,2.0,0,standard,12,0,51
1,CWRU,test,2.0,50,standard,12,0,93
1,JNU,train,0.25,0,standard,36,0,396
1,JNU,train,0.25,50,standard,36,0,768
1,JNU,train,0.5,0,standard,36,0,180
1,JNU,train,0.5,50,standard,36,0,336
1,JNU,train,1.0,0,standard,36,0,72
1,JNU,train,1.0,50,standard,36,0,120
1,JNU,train,2.0,0,standard,36,27,18
1,JNU,train,2.0,50,standard,36,27,30
1,JNU,validation,0.25,0,standard,12,0,132
1,JNU,validation,0.25,50,standard,12,0,252
1,JNU,validation,0.5,0,standard,12,0,60
1,JNU,validation,0.5,50,standard,12,0,108
1,JNU,validation,1.0,0,standard,12,0,24
1,JNU,validation,1.0,50,standard,12,0,36
1,JNU,validation,2.0,0,standard,12,9,6
1,JNU,validation,2.0,50,standard,12,9,9
1,JNU,test,0.25,0,standard,12,0,132
1,JNU,test,0.25,50,standard,12,0,264
1,JNU,test,0.5,0,standard,12,0,60
1,JNU,test,0.5,50,standard,12,0,120
1,JNU,test,1.0,0,standard,12,0,24
1,JNU,test,1.0,50,standard,12,0,48
1,JNU,test,2.0,0,standard,12,9,6
1,JNU,test,2.0,50,standard,12,9,12
1,HIT,train,0.25,0,standard,94,0,5452
1,HIT,train,0.25,0,hit_series_constrained,1692,0,5076
1,HIT,train,0.25,50,standard,94,0,10904
1,HIT,train,0.25,50,hit_series_constrained,1692,0,8460
1,HIT,train,0.5,0,standard,94,0,2726
1,HIT,train,0.5,0,hit_series_constrained,1692,0,1692
1,HIT,train,0.5,50,standard,94,0,5358
1,HIT,train,0.5,50,hit_series_constrained,1692,0,3384
1,HIT,train,1.0,0,standard,94,0,1316
1,HIT,train,1.0,0,hit_series_constrained,1692,1692,0
1,HIT,train,1.0,50,standard,94,0,2632
1,HIT,train,1.0,50,hit_series_constrained,1692,1692,0
1,HIT,train,2.0,0,standard,94,0,658
1,HIT,train,2.0,0,hit_series_constrained,1692,1692,0
1,HIT,train,2.0,50,standard,94,0,1222
1,HIT,train,2.0,50,hit_series_constrained,1692,1692,0
1,HIT,validation,0.25,0,standard,20,0,1160
1,HIT,validation,0.25,0,hit_series_constrained,360,0,1080
1,HIT,validation,0.25,50,standard,20,0,2320
1,HIT,validation,0.25,50,hit_series_constrained,360,0,1800
1,HIT,validation,0.5,0,standard,20,0,580
1,HIT,validation,0.5,0,hit_series_constrained,360,0,360
1,HIT,validation,0.5,50,standard,20,0,1140
1,HIT,validation,0.5,50,hit_series_constrained,360,0,720
1,HIT,validation,1.0,0,standard,20,0,280
1,HIT,validation,1.0,0,hit_series_constrained,360,360,0
1,HIT,validation,1.0,50,standard,20,0,560
1,HIT,validation,1.0,50,hit_series_constrained,360,360,0
1,HIT,validation,2.0,0,standard,20,0,140
1,HIT,validation,2.0,0,hit_series_constrained,360,360,0
1,HIT,validation,2.0,50,standard,20,0,260
1,HIT,validation,2.0,50,hit_series_constrained,360,360,0
1,HIT,test,0.25,0,standard,20,0,1160
1,HIT,test,0.25,0,hit_series_constrained,360,0,1080
1,HIT,test,0.25,50,standard,20,0,2320
1,HIT,test,0.25,50,hit_series_constrained,360,0,1800
1,HIT,test,0.5,0,standard,20,0,580
1,HIT,test,0.5,0,hit_series_constrained,360,0,360
1,HIT,test,0.5,50,standard,20,0,1140
1,HIT,test,0.5,50,hit_series_constrained,360,0,720
1,HIT,test,1.0,0,standard,20,0,280
1,HIT,test,1.0,0,hit_series_constrained,360,360,0
1,HIT,test,1.0,50,standard,20,0,560
1,HIT,test,1.0,50,hit_series_constrained,360,360,0
1,HIT,test,2.0,0,standard,20,0,140
1,HIT,test,2.0,0,hit_series_constrained,360,360,0
1,HIT,test,2.0,50,standard,20,0,260
1,HIT,test,2.0,50,hit_series_constrained,360,360,0
1,MAFAULDA,train,0.25,0,standard,1092,0,21840
1,MAFAULDA,train,0.25,50,standard,1092,0,42588
1,MAFAULDA,train,0.5,0,standard,1092,0,10920
1,MAFAULDA,train,0.5,50,standard,1092,0,20748
1,MAFAULDA,train,1.0,0,standard,1092,0,5460
1,MAFAULDA,train,1.0,50,standard,1092,0,9828
1,MAFAULDA,train,2.0,0,standard,1092,0,2184
1,MAFAULDA,train,2.0,50,standard,1092,0,4368
1,MAFAULDA,validation,0.25,0,standard,412,0,8240
1,MAFAULDA,validation,0.25,50,standard,412,0,16068
1,MAFAULDA,validation,0.5,0,standard,412,0,4120
1,MAFAULDA,validation,0.5,50,standard,412,0,7828
1,MAFAULDA,validation,1.0,0,standard,412,0,2060
1,MAFAULDA,validation,1.0,50,standard,412,0,3708
1,MAFAULDA,validation,2.0,0,standard,412,0,824
1,MAFAULDA,validation,2.0,50,standard,412,0,1648
1,MAFAULDA,test,0.25,0,standard,447,0,8940
1,MAFAULDA,test,0.25,50,standard,447,0,17433
1,MAFAULDA,test,0.5,0,standard,447,0,4470
1,MAFAULDA,test,0.5,50,standard,447,0,8493
1,MAFAULDA,test,1.0,0,standard,447,0,2235
1,MAFAULDA,test,1.0,50,standard,447,0,4023
