fold,seed,dataset,window_id,class,group_id,class_rank,n_class,frac_5,frac_10,frac_25,frac_50,frac_100,parent_train_manifest_sha256
1,42,CWRU,f1:CWRU:cwru_X191:DE:train:96000-144000,ball,cwru48k_B014,0,66,True,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X190:DE:train:264000-312000,ball,cwru48k_B014,1,66,True,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X190:DE:train:144000-192000,ball,cwru48k_B014,2,66,True,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X191:DE:train:48000-96000,ball,cwru48k_B014,3,66,True,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X192:DE:train:408000-456000,ball,cwru48k_B014,4,66,False,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X192:DE:train:168000-216000,ball,cwru48k_B014,5,66,False,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X190:DE:train:216000-264000,ball,cwru48k_B014,6,66,False,True,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X191:DE:train:120000-168000,ball,cwru48k_B014,7,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X189:DE:train:72000-120000,ball,cwru48k_B014,8,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X191:DE:train:312000-360000,ball,cwru48k_B014,9,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X192:DE:train:240000-288000,ball,cwru48k_B014,10,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X192:DE:train:312000-360000,ball,cwru48k_B014,11,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X191:DE:train:192000-240000,ball,cwru48k_B014,12,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X192:DE:train:0-48000,ball,cwru48k_B014,13,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X190:DE:train:336000-384000,ball,cwru48k_B014,14,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
1,42,CWRU,f1:CWRU:cwru_X189:DE:train:96000-144000,ball,cwru48k_B014,15,66,False,False,True,True,True,ccd0b9a2f616c90b12d541a4ffbedd539fefc1bd7d6204062724c0166a5a63ab
