model_id,fp32_bytes,int8_bytes,val_fp32,val_q8
k1_f1_s42,5543085,1600486,0.8548001503632264,0.8548001503632264
k1_f1_s1337,5543085,1600486,0.8616930773433094,0.8623325289496118
k1_f1_s2026,5543085,1600486,0.8621180633667088,0.8621180633667088
k1_f2_s42,5543085,1600486,0.8095656267811057,0.8099190631807246
k1_f2_s1337,5543085,1600486,0.7730542418505957,0.7730549608214323
k1_f2_s2026,5543085,1600486,0.7885129481227481,0.7882965409498721
k1_f3_s42,5543085,1600486,0.7295557732501943,0.7292568988027319
k1_f3_s1337,5543085,1600486,0.7996118494693294,0.8000424312930499
k1_f3_s2026,5543085,1600486,0.7825878629719183,0.7824149590256276
c_small_f1_s42,5543085,1600486,0.8586886343235444,0.8586791643602434
c_small_f1_s1337,5543085,1600486,0.8433178522885854,0.8427297427932903
c_small_f1_s2026,5543085,1600486,0.8447583731435676,0.8446500468806191
c_small_f2_s42,5543085,1600486,0.7212797064107694,0.7211866296122329
c_small_f2_s1337,5543085,1600486,0.7984220199487869,0.7985646147604994
c_small_f2_s2026,5543085,1600486,0.7651248925101001,0.765027372000245
c_small_f3_s42,5543085,1600486,0.7482658379807446,0.7486258968145837
c_small_f3_s1337,5543085,1600486,0.7677615076452593,0.7678989668153469
c_small_f3_s2026,5543085,1600486,0.794104345144897,0.794442310553695
k0_f1_s42,5543085,1600486,0.8607083956847528,0.8611354271938738
k0_f1_s1337,5543085,1600486,0.8338891949956508,0.8338891949956508
k0_f1_s2026,5543085,1600486,0.8533873470170585,0.8533873470170585
k0_f2_s42,5543085,1600486,0.7180891620373502,0.7180891620373502
k0_f2_s1337,5543085,1600486,0.7803825941838196,0.7804617579016513
k0_f2_s2026,5543085,1600486,0.776307808266406,0.7759849723726504
k0_f3_s42,5543085,1600486,0.7722636958152453,0.7724050173280235
k0_f3_s1337,5543085,1600486,0.792031549481383,0.79140629419462
k0_f3_s2026,5543085,1600486,0.789503276326852,0.789741631268614
s1_f1_s42_l100,9579074,2798710,0.854438780146433,0.854438780146433
s1_f1_s1337_l100,9579074,2798710,0.8454072243379959,0.8452882241322728
s1_f1_s2026_l100,9579074,2798710,0.8471519610489782,0.8471519610489782
s1_f2_s42_l100,9579074,2798710,0.8095954540388283,0.8097532049049477
s1_f2_s1337_l100,9579074,2798710,0.7762468055248086,0.7762468055248086
s1_f2_s2026_l100,9579074,2798710,0.8321612073449756,0.8320368355937102
s1_f3_s42_l100,9579074,2798710,0.724676420311686,0.7243315137804088
s1_f3_s1337_l100,9579074,2798710,0.7861957075539945,0.7860918166818336
s1_f3_s2026_l100,9579074,2798710,0.7945893700618804,0.7945893700618804
s0_f1_s42_l100,9579074,2798710,0.9012946677814634,0.9011599527590961
s0_f1_s1337_l100,9579074,2798710,0.8199924662954565,0.8199924662954565
s0_f1_s2026_l100,9579074,2798710,0.8497066232018151,0.8497066232018151
s0_f2_s42_l100,9579074,2798710,0.7408013934446982,0.7408013934446982
s0_f2_s1337_l100,9579074,2798710,0.7761764597887945,0.776231975485038
s0_f2_s2026_l100,9579074,2798710,0.7603699093515385,0.7604431110168942
s0_f3_s42_l100,9579074,2798710,0.7669467706127269,0.7669467706127269
s0_f3_s1337_l100,9579074,2798710,0.7899575703924981,0.7910603903857918
s0_f3_s2026_l100,9579074,2798710,0.7884995742273857,0.7886763617741717
